sample-id	GNomexID	num	orig_name	orig_type	correct_type	mouse	day	day_num	sex	treatment	cage	body_wt	TD	Index_F	Index_R	Raw_forward_reads
MD4_Blank1	20492X151	151	4_6_D21	mouse	ExtBlank	MD4_Blank1	blank	blank						i719	i515	0.2
MD5_Blank1	20492X174	174	9_2_D21	mouse	ExtBlank	MD5_Blank1	blank	blank						i722	i514	0.2
MD5_Blank3	20492X173	173	9_12_D21	mouse	ExtBlank	MD5_Blank3	blank	blank						i722	i513	0.3
Plate1_ExtBlank	20492X11	11	1316_wild	woodrat	ExtBlank	Plate1_ExtBlank	blank	blank						i702	i503	0
Plate1_PCR1Blank	20492X90	90	1314_D4	woodrat	PCRblank	Plate1_PCR1Blank	blank	blank						i712	i502	0.2
Plate1_PCR2Blank	20492X89	89	1315_D12	woodrat	PCRblank	Plate1_PCR2Blank	blank	blank						i712	i501	0
Plate2_ExtBlank	20492X175	175	Plate2_PCR1Blank	PCRBlank	ExtBlank	Plate2_ExtBlank	blank	blank						i722	i515	1.4
Plate2_PCR1Blank	20492X170	170	Plate2_ExtBlank	ExtBlank	PCRblank	Plate2_PCR1Blank	blank	blank						i722	i510	1
Plate2_PCR2Blank	20492X169	169	1318_D0	mouse	PCRblank	Plate2_PCR2Blank	blank	blank						i722	i509	0
Zymo_Mock	20492X181	181	1310_D0.1	woodrat	MockComm	Zymo_Mock	Mock	Mock						i723	i513	1
